benchmark comment;database;module;interface;SQL statement;bulk length;bulk size;batch size;trials;start day time;end day time;average duration;average per SQL stmnt;minimum duaration;maximum duartion
testing batch sizes;db_11_2_xe;OraBench.java;Oracle JDBC;INSERT INTO ora_bench_table (key, data) VALUES (:key, :data);512;100000;1024;10;2019.11.07 14:56:16.008605300;2019.11.07 15:09:30.449972100;459359140;4593;39763300;907061400
testing batch sizes;db_11_2_xe;OraBench.java;Oracle JDBC;SELECT data FROM ora_bench_table WHERE key = :key;512;100000;1024;10;2019.11.07 14:56:16.008605300;2019.11.07 15:09:30.449972100;519126170;5191;197150000;958297000
testing batch sizes;db_11_2_xe;OraBench.java;Oracle JDBC;INSERT INTO ora_bench_table (key, data) VALUES (:key, :data);512;100000;1024;10;2019.11.07 15:53:29.475218200;2019.11.07 16:06:49.585674500;465291490;4652;128754300;914354600
testing batch sizes;db_11_2_xe;OraBench.java;Oracle JDBC;SELECT data FROM ora_bench_table WHERE key = :key;512;100000;1024;10;2019.11.07 15:53:29.475218200;2019.11.07 16:06:49.585674500;577397280;5773;67507800;956683700
testing batch sizes;db_11_2_xe;OraBench.java;Oracle JDBC;INSERT INTO ora_bench_table (key, data) VALUES (:key, :data);512;100000;1024;10;2019.11.07 17:19:55.399438400;2019.11.07 17:35:16.645047300;667036720;6670;312972000;990283900
testing batch sizes;db_11_2_xe;OraBench.java;Oracle JDBC;SELECT data FROM ora_bench_table WHERE key = :key;512;100000;1024;10;2019.11.07 17:19:55.399438400;2019.11.07 17:35:16.645047300;417574940;4175;85800400;909192600
testing batch sizes;db_11_2_xe;OraBench.java;Oracle JDBC;INSERT INTO ora_bench_table (key, data) VALUES (:key, :data);512;100;1024;5;2019.11.08 11:34:13.990093400;2019.11.08 11:34:19.791095300;59598860;595988;41000700;107999000
testing batch sizes;db_11_2_xe;OraBench.java;Oracle JDBC;SELECT data FROM ora_bench_table WHERE key = :key;512;100;1024;5;2019.11.08 11:34:13.990093400;2019.11.08 11:34:19.791095300;78800680;788006;60998700;136004000
testing batch sizes_xxxxx;db_11_2_xe;OraBench.java;Oracle JDBC;INSERT INTO ora_bench_table (key, data) VALUES (:key, :data);512;100;1024;5;2019.11.08 12:41:37.337663700;2019.11.08 12:41:41.792730400;60013000;600130;42008600;91020700
testing batch sizes_xxxxx;db_11_2_xe;OraBench.java;Oracle JDBC;SELECT data FROM ora_bench_table WHERE key = :key;512;100;1024;5;2019.11.08 12:41:37.337663700;2019.11.08 12:41:41.792730400;64815980;648159;55014200;91021400
